DateTime,Entries,UniqueIPs
1583582674,9951,10391
1583584592,10256,10704
1583586498,10269,10718
1583588411,10266,10714
1583590601,10275,10723
1583591401,10532,10983
1583592495,10537,10988
1583594407,10546,10997
1583596329,10552,11003
1583598291,10562,11013
1583600170,10715,11170
1583602085,10722,11177
1583602202,10959,11419
1583604011,10969,11429
1583605956,10971,11428
1583607852,10975,11432
1583609556,11088,11532
1583610017,11236,11681
1583610302,11330,11779
1583613873,11328,11777
1583615795,11325,11773
1583617691,11318,11767
1583619608,11543,11997
1583621553,11552,12006
1583622251,11549,12003
1583623450,11545,11999
1583625366,11743,12201
1583627312,11745,12203
1583631153,11727,12186
1583633320,8044,8353
1583633768,8047,8358
1583635211,8048,8359
1583635502,8356,8685
1583637133,8352,8684
1583639071,8359,8691
1583640982,8355,8689
1583641453,8336,8669
1583642893,8338,8671
1583644832,8464,8805
1583646726,8458,8800
1583647202,8751,9119
1583648647,8751,9118
1583650589,8756,9122
1583650802,8888,9261
1583652492,8887,9260
1583654419,8881,9254
1583656333,8990,9364
1583658002,9107,9489
1583660172,9093,9474
1583662093,9099,9481
1583664019,9107,9489
1583665202,9341,9734
1583665936,9354,9747
1583667869,9363,9756
1583668802,9454,9849
1583669783,9452,9847
1583671690,9455,9850
1583673635,9458,9854
1583675529,9468,9864
1583676002,9684,10086
1583679367,9678,10080
1583681289,9683,10085
1583683233,9687,10090
1583685134,9849,10263
1583687052,9851,10265
1583688969,9849,10263
1583690401,10053,10479
1583692809,10036,10462
1583694731,10043,10469
1583696670,10042,10468
1583698575,10236,10667
1583700496,10106,10530
1583702407,10108,10532
1583704348,10109,10534
1583706251,10221,10648
1583708189,10212,10640
1583709302,10385,10816
1583710085,10387,10818
1583710567,10371,10797
1583712019,10369,10795
1583713957,10367,10792
1583716120,10373,10798
1583716502,7285,7557
1583718009,7279,7551
1583718251,7309,7583
1583719929,7315,7589
1583722087,7287,7558
1583723794,7278,7546
1583725689,7486,7776
1583725925,7502,7792
1583727630,7499,7788
1583729527,7506,7795
1583731450,7609,7902
1583733391,7609,7905
1583735285,7826,8141
1583737213,7823,8138
1583739156,7825,8140
1583741054,7825,8140
1583742968,7933,8254
1583744913,7942,8263
1583746202,8233,8559
1583746812,8235,8560
1583748979,8223,8546
1583749802,8370,8696
1583750892,8362,8688
1583752814,8358,8684
1583753401,8485,8814
1583754751,8472,8801
1583756653,8481,8810
1583759533,9239,9584
1583760760,9221,9566
1583762679,9520,9871
1583764575,9532,9883
1583768415,9781,10139
1583770335,9780,10138
1583772278,9781,10138
1583774174,9779,10136
1583775002,9960,10334
1583776100,9965,10339
1583778032,9979,10353
1583779933,9987,10361
1583781854,9994,10368
1583785687,10096,10468
1583785802,10288,10664
1583787611,10297,10673
1583789533,10301,10676
1583791723,10307,10682
1583793636,10461,10839
1583793901,10573,10956
1583795538,10616,11000
1583797451,10617,11003
1583799375,10615,11001
1583801293,10617,11003
1583803238,10728,11116
1583805153,10731,11119
1583807052,7494,7765
1583808992,7497,7767
1583810102,7737,8034
1583810892,7732,8026
1583812816,7737,8033
1583814769,7730,8023
1583816678,7731,8024
1583818574,7908,8212
1583819102,8019,8334
1583820521,8025,8339
1583822416,8010,8323
1583822702,8127,8450
1583824332,8134,8457
1583830095,8126,8449
1583832005,8385,8719
1583833955,8375,8709
1583835850,8379,8713
1583837102,8628,8967
1583837771,8631,8967
1583839712,8628,8964
1583841611,8632,8970
1583843557,8614,8952
1583845480,8739,9080
1583847427,8743,9084
1583848802,9079,9436
1583849296,9078,9435
1583850297,8787,9145
1583850731,8436,8784
1583851239,8442,8790
1583852402,8550,8905
1583853138,8567,8922
1583855051,8571,8927
1583856003,8691,9054
1583858891,8682,9045
1583859602,8788,9159
1583860816,8782,9153
1583862728,8778,9149
1583863202,8907,9284
1583864652,8917,9294
1583866567,8917,9294
1583866802,9034,9413
1583868490,9032,9408
1583870434,9052,9428
1583872337,9138,9516
1583874502,9218,9597
1583876416,9215,9594
1583878359,9214,9593
1583880250,9211,9590
1583881202,9417,9800
1583882173,9416,9799
1583883850,9378,9759
1583884090,9379,9759
1583886006,9379,9760
1583887924,9376,9757
1583889302,6445,6717
1583891526,6487,6760
1583893686,6499,6773
1583895366,6457,6731
1583895611,6470,6744
1583897532,6478,6752
1583898302,6728,7034
1583899209,6747,7054
1583899694,6752,7059
1583901611,6754,7061
1583901902,6870,7188
1583903530,6853,7175
1583905448,6850,7172
1583905501,6969,7297
1583907371,6967,7295
1583909290,7096,7426
1583911205,7097,7427
1583913126,7111,7443
1583915050,7122,7454
1583916301,7414,7750
1583916967,7403,7740
1583918887,7410,7747
1583920814,7418,7755
1583922732,7418,7757
1583924656,7537,7885
1583926571,7546,7893
1583927102,7801,8156
1583928490,7805,8160
1583930410,7820,8175
1583932330,7826,8181
1583934275,7840,8196
1583936174,8007,8371
1583938091,8010,8373
1583938802,8330,8700
1583940009,8331,8701
1583941208,8275,8647
1583941930,8268,8640
1583942402,8909,9305
1583943876,8928,9324
1583946002,9033,9430
1583947686,9039,9436
1583949608,9039,9436
1583953700,9328,9736
1583955650,9328,9736
1583956803,9417,9832
1583959449,9413,9828
1583961372,9419,9834
1583963289,9428,9844
1583964002,9629,10048
1583965236,9632,10051
1583967126,9630,10049
1583968331,9666,10087
1583969050,9668,10088
1583970988,9671,10091
1583972886,9765,10186
1583974806,9765,10188
1583976774,7077,7365
1583978893,7086,7379
1583979848,7092,7383
1583980811,7092,7383
1583982730,7218,7533
1583986568,7205,7520
1583987528,7433,7766
1583988489,7447,7780
1583990407,7461,7794
1583992327,7461,7793
1583994248,7605,7950
1583996167,7604,7948
1583998086,7864,8215
1584000010,7862,8214
1584002896,7865,8217
1584006017,7985,8342
1584007933,7989,8346
1584008102,8281,8652
1584009846,8286,8657
1584011775,8291,8662
