DateTime,Entries,UniqueIPs
1583218611,69,69
1583220507,71,71
1583222694,72,72
1583224580,72,72
1583226514,73,73
1583228432,72,72
1583230345,73,73
1583234197,72,72
1583238044,74,74
1583239965,76,76
1583241886,77,77
1583243785,78,78
1583245701,77,77
1583247891,78,78
1583249846,79,79
1583251725,78,78
1583253669,79,79
1583255546,81,81
1583257492,81,81
1583259384,80,80
1583261323,81,81
1583263236,83,83
1583265154,83,83
1583267061,83,83
1583268988,82,82
1583270907,81,81
1583273000,82,82
1583275011,81,81
1583276912,83,83
1583278827,86,86
1583280747,89,89
1583282655,86,86
1583288420,88,88
1583290361,90,90
1583292271,90,90
1583294181,91,91
1583296096,92,92
1583298230,95,95
1583300186,94,94
1583302119,93,93
1583305964,94,94
1583307858,96,96
1583311713,94,94
1583313615,94,94
1583315547,95,95
1583317486,94,94
1583319378,93,93
1583325141,90,90
1583326977,90,90
1583328973,91,91
1583330918,92,92
1583332815,92,92
1583334738,91,91
1583340503,91,91
1583342414,91,91
1583344336,90,90
1583346260,91,91
1583348175,89,89
1583350093,88,88
1583352263,87,87
1583354178,88,88
1583356111,87,87
1583358016,87,87
1583359934,84,84
1583361856,84,84
1583363796,83,83
1583365696,82,82
1583367642,83,83
1583369534,85,85
1583371454,86,86
1583373374,87,87
1583375291,89,89
1583378417,88,88
1583380337,87,87
1583382267,87,87
1583384175,88,88
1583386095,87,87
1583388217,86,86
1583390178,87,87
1583392108,90,90
1583397864,90,90
1583399788,92,92
1583401705,93,93
1583403621,94,94
1583405560,93,93
1583409375,95,95
1583411300,93,93
1583413440,93,93
1583415376,93,93
1583417291,91,91
1583419217,89,89
1583425222,88,88
1583427136,86,86
1583429062,85,85
1583430984,84,84
1583432915,81,81
1583435116,82,82
1583436977,84,84
1583438895,83,83
1583440822,83,83
1583442743,82,82
1583444665,83,83
1583446580,84,84
1583448522,82,82
1583450417,83,83
1583452334,86,86
1583454256,91,91
1583456174,91,91
1583458096,91,91
1583460287,93,93
1583464150,94,94
1583467969,93,93
1583471778,93,93
1583473703,94,94
1583475620,94,94
1583477555,95,95
1583483548,93,93
1583485473,93,93
1583487385,91,91
1583489300,92,92
1583491223,92,92
1583493143,96,96
1583495075,96,96
1583496996,93,93
1583498940,93,93
1583500855,94,94
1583502741,93,93
1583504662,91,91
1583506617,92,92
1583508504,92,92
1583510596,93,93
1583512578,95,95
1583514511,94,94
1583516419,95,95
1583520258,98,98
1583522194,97,97
1583526045,93,93
1583527933,94,94
1583529864,94,94
1583531776,94,94
1583533701,96,96
1583535931,94,94
1583537778,93,93
1583539699,92,92
1583541619,87,87
1583543539,95,95
1583545455,94,94
1583547378,95,95
1583549298,97,97
1583551220,97,97
1583553137,97,97
1583558903,99,99
1583562029,99,99
1583563934,96,96
1583565882,95,95
1583567788,96,96
1583569749,97,97
1583571779,95,95
1583573844,91,91
1583577647,92,92
1583579543,91,91
1583581453,89,89
1583585321,86,86
1583587229,85,85
1583589134,84,84
1583592976,84,84
1583596935,83,83
1583598735,81,81
1583600690,80,80
1583602576,79,79
1583604522,79,79
1583606414,79,79
1583610276,80,80
1583612177,81,81
1583614095,81,81
1583617953,81,81
1583619876,80,80
1583621773,82,82
1583626602,80,80
1583628501,83,83
1583630450,83,83
1583632338,84,84
1583634262,82,82
1583636214,80,80
1583638102,81,81
1583640278,80,80
1583642181,81,81
1583644119,79,79
1583646020,80,80
1583647960,81,81
1583649878,80,80
1583651780,77,77
1583653701,79,79
1583655616,79,79
1583657562,80,80
1583659458,79,79
1583661388,81,81
1583663565,80,80
1583667378,79,79
1583669330,80,80
1583678910,79,79
1583680817,81,81
1583682736,81,81
1583684714,82,82
1583690644,83,83
1583692581,82,82
1583694529,82,82
1583696418,82,82
1583700279,79,79
1583704100,79,79
1583706063,81,81
1583707934,81,81
1583709857,83,83
1583711834,82,82
1583713696,81,81
1583715885,74,74
1583717776,72,72
1583719742,71,71
1583721620,74,74
1583723542,75,75
1583725459,76,76
1583729299,75,75
1583731243,74,74
1583733134,73,73
1583735058,72,72
1583737011,73,73
1583740944,70,70
1583742759,71,71
1583744669,70,70
1583746577,69,69
1583748563,69,69
1583750428,72,72
1583752339,75,75
1583756190,74,74
1583758095,73,73
1583763857,74,74
1583767693,72,72
1583769743,71,71
1583771564,73,73
1583775385,72,72
1583777335,72,72
1583779238,72,72
1583781147,74,74
1583783063,73,73
1583784983,75,75
1583786903,74,74
1583790762,74,74
1583792675,74,74
1583794596,75,75
1583796528,75,75
1583798645,77,77
1583800601,78,78
1583802521,77,77
1583806350,75,75
1583808283,72,72
1583810200,72,72
1583812102,74,74
1583815960,75,75
1583817864,73,73
1583823921,72,72
1583825782,75,75
1583827699,78,78
1583829641,78,78
1583831540,77,77
1583833453,78,78
1583835378,78,78
1583837298,76,76
1583841174,75,75
1583844976,75,75
1583846926,74,74
1583849777,77,77
1583857727,76,76
1583861809,78,78
1583863704,76,76
1583865623,76,76
1583867563,76,76
1583869473,78,78
1583871428,77,77
1583875232,76,76
1583877139,77,77
1583879064,76,76
1583880984,72,72
1583882897,74,74
1583885019,73,73
1583886972,73,73
1583888894,77,77
1583890830,78,78
1583892739,79,79
1583896583,78,78
1583898493,75,75
1583902332,74,74
1583908098,74,74
1583910232,73,73
1583912174,70,70
1583914103,70,70
1583916017,69,69
1583917942,69,69
1583921775,69,69
1583923699,68,68
1583931375,68,68
1583933295,69,69
1583935452,67,67
1583937376,67,67
1583939182,68,68
1583941004,67,67
1583942902,70,70
1583944843,72,72
1583946756,71,71
1583948659,71,71
1583950620,70,70
1583952514,71,71
1583954455,70,70
1583956336,69,69
1583958278,70,70
1583960188,71,71
1583962098,72,72
1583964197,71,71
1583966200,72,72
1583968093,70,70
1583970015,71,71
1583971947,73,73
1583973856,75,75
1583975778,75,75
1583977700,75,75
1583979622,76,76
1583981558,77,77
1583983467,76,76
1583985381,76,76
1583987296,77,77
1583989535,83,83
1583991386,84,84
1583995241,84,84
1583997141,84,84
1583999068,84,84
1584002936,85,85
1584004916,86,86
1584006752,86,86
1584008938,87,87
