DateTime,Entries,UniqueIPs
1583017674,145,145
1583021278,145,145
1583024880,145,145
1583028469,146,146
1583032072,146,146
1583035653,146,146
1583039243,145,145
1583042874,145,145
1583046435,145,145
1583050038,145,145
1583053618,145,145
1583057235,145,145
1583060825,145,145
1583064440,144,144
1583068032,145,145
1583071661,145,145
1583075220,145,145
1583078850,145,145
1583082435,146,146
1583086042,146,146
1583089620,145,145
1583093257,145,145
1583096836,144,144
1583100436,144,144
1583104038,145,145
1583107626,145,145
1583111238,145,145
1583114861,146,146
1583118444,146,146
1583122050,146,146
1583125628,147,147
1583129238,147,147
1583132854,145,145
1583136451,145,145
1583140054,144,144
1583143656,145,145
1583147260,147,147
1583150861,147,147
1583154464,146,146
1583158049,145,145
1583161658,145,145
1583165236,146,146
1583168870,145,145
1583172468,144,144
1583176053,144,144
1583183265,145,145
1583186858,145,145
1583190465,145,145
1583194046,144,144
1583197637,144,144
1583201265,144,144
1583204841,145,145
1583208461,146,146
1583212046,147,147
1583215624,147,147
1583219235,147,147
1583222846,146,146
1583226448,147,147
1583230051,146,146
1583233646,145,145
1583237238,146,146
1583240854,146,146
1583244456,146,146
1583248041,146,146
1583251639,146,146
1583255232,146,146
1583258843,146,146
1583262443,145,145
1583266047,145,145
1583269655,145,145
1583273252,144,144
1583276862,144,144
1583280450,145,145
1583284054,145,145
1583287648,146,146
1583291253,146,146
1583294842,147,147
1583298450,147,147
1583302054,147,147
1583305620,146,146
1583309236,146,146
1583312842,146,146
1583316433,147,147
1583320029,146,146
1583323625,145,145
1583327215,145,145
1583330845,146,146
1583334427,146,146
1583338029,146,146
1583341632,146,146
1583345213,146,146
1583348815,145,145
1583352437,145,145
1583356037,145,145
1583359625,146,146
1583363223,147,147
1583366849,147,147
1583370432,146,146
1583374030,146,146
1583377646,146,146
1583381231,147,147
1583384844,146,146
1583388434,146,146
1583392050,146,146
1583395642,145,145
1583399276,145,145
1583402857,145,145
1583406453,146,146
1583410065,147,147
1583413645,147,147
1583417256,146,146
1583420843,146,146
1583424455,146,146
1583428040,146,146
1583431646,146,146
1583435250,146,146
1583438916,147,147
1583442449,147,147
1583446062,146,146
1583449649,145,145
1583453250,145,145
1583456854,146,146
1583460461,147,147
1583464059,148,148
1583467645,148,148
1583471253,147,147
1583474839,147,147
1583478430,146,146
1583482034,146,146
1583485616,147,147
1583489233,148,148
1583492837,149,149
1583496442,148,148
1583500023,148,148
1583503615,147,147
1583507244,147,147
1583510822,147,147
1583514432,147,147
1583518013,147,147
1583521632,146,146
1583525244,146,146
1583528835,147,147
1583532432,146,146
1583536047,146,146
1583539631,146,146
1583543237,146,146
1583546828,147,147
1583550439,147,147
1583554033,148,148
1583557618,148,148
1583561246,147,147
1583564832,148,148
1583568426,147,147
1583572031,147,147
1583575627,148,148
1583579243,148,148
1583582821,148,148
1583586453,149,149
1583590015,148,148
1583593611,149,149
1583597217,149,149
1583600832,149,149
1583604425,148,148
1583608043,148,148
1583611642,148,148
1583615226,149,149
1583618846,149,149
1583622425,148,148
1583626057,147,147
1583629643,148,148
1583633263,149,149
1583636847,149,149
1583640439,148,148
1583644032,147,147
1583647643,146,146
1583651243,147,147
1583654847,147,147
1583658444,148,148
1583662042,148,148
1583665624,148,148
1583669226,147,147
1583672834,148,148
1583676423,148,148
1583680050,148,148
1583683630,148,148
1583687242,147,147
1583690838,148,148
1583694432,148,148
1583698038,148,148
1583701647,148,148
1583705242,148,148
1583708848,148,148
1583712440,148,148
1583716037,148,148
1583719638,148,148
1583723239,148,148
1583726845,149,149
1583730441,150,150
1583734026,149,149
1583737643,149,149
1583741222,150,150
1583744843,150,150
1583748441,150,150
1583752040,150,150
1583755653,150,150
1583759252,150,150
1583762828,150,150
1583766434,150,150
1583770041,149,149
1583773632,148,148
1583777243,148,148
1583780821,149,149
1583784423,149,149
1583788049,148,148
1583791653,149,149
1583795240,149,149
1583798868,149,149
1583802424,148,148
1583806036,149,149
1583809649,149,149
1583813236,150,150
1583816851,149,149
1583820435,149,149
1583824024,148,148
1583827621,149,149
1583831240,148,148
1583834840,148,148
1583838437,149,149
1583842031,149,149
1583845637,149,149
1583849251,150,150
1583852816,150,150
1583856537,149,149
1583860274,149,149
1583863637,149,149
1583867233,148,148
1583870817,148,148
1583874435,148,148
1583878048,148,148
1583881634,148,148
1583885247,148,148
1583888848,148,148
1583892436,148,148
1583896036,149,149
1583899642,149,149
1583903302,148,148
1583906832,147,147
1583910448,148,148
1583914031,147,147
1583917629,148,148
1583921229,148,148
1583924844,148,148
1583928434,149,149
1583932027,149,149
1583935645,149,149
1583939245,149,149
1583942852,147,147
1583946439,147,147
1583950042,147,147
1583953640,148,148
1583957256,148,148
1583960841,148,148
1583964463,148,148
1583968042,148,148
1583971641,148,148
1583975246,148,148
1583978851,149,149
1583982440,149,149
1583986038,149,149
1583989644,149,149
1583993246,149,149
1583996853,149,149
1584000445,149,149
1584004033,149,149
1584007664,149,149
1584011249,149,149
