DateTime,AddedIPs,RemovedIPs
1583179563,1,6
1583183178,5,1
1583186773,5,8
1583190370,11,4
1583193955,3,3
1583197549,0,2
1583201178,4,2
1583204753,0,3
1583208370,2,0
1583211958,3,9
1583215542,3,3
1583219144,8,5
1583222757,7,2
1583226350,2,2
1583229957,1,2
1583233551,2,3
1583237152,4,1
1583240761,2,1
1583244362,4,1
1583247945,1,4
1583251553,3,1
1583255147,3,2
1583258752,0,3
1583262349,0,3
1583265961,3,1
1583269563,0,1
1583273161,2,1
1583276770,0,1
1583280355,1,1
1583283961,1,1
1583287557,3,2
1583291159,1,1
1583294748,0,2
1583298359,3,2
1583301963,2,5
1583305545,2,3
1583309141,5,2
1583312753,3,2
1583316353,4,3
1583319949,2,2
1583323539,4,9
1583327142,4,2
1583330757,1,3
1583334351,2,3
1583337949,3,4
1583341550,1,1
1583345137,4,1
1583348734,4,3
1583352349,3,1
1583355957,2,1
1583359545,2,3
1583363148,2,4
1583366766,3,1
1583370347,1,3
1583373951,3,4
1583377559,5,0
1583381154,2,6
1583384755,3,2
1583388349,2,3
1583391960,4,3
1583395548,2,5
1583399181,2,4
1583402764,6,3
1583406354,3,0
1583409968,2,2
1583413556,2,1
1583417170,2,3
1583420756,1,4
1583424359,1,2
1583427951,6,5
1583431554,2,3
1583435160,4,2
1583438758,5,0
1583442358,2,0
1583445972,1,2
1583449559,1,5
1583453156,1,2
1583456764,1,3
1583460371,3,1
1583463967,2,2
1583467553,3,2
1583471163,4,2
1583474751,1,6
1583478352,6,1
1583481948,0,2
1583485541,1,6
1583489148,1,1
1583492752,3,4
1583496352,2,3
1583499947,7,1
1583503540,2,0
1583507156,1,2
1583510744,2,3
1583514361,1,4
1583517941,3,1
1583521543,3,2
1583525156,1,0
1583528756,1,1
1583532350,1,4
1583535957,3,3
1583539550,2,0
1583543152,1,2
1583546746,2,0
1583550353,3,1
1583553947,2,7
1583557539,3,3
1583561159,4,3
1583564754,3,2
1583568344,0,3
1583571950,1,1
1583575538,1,1
1583579153,2,1
1583582741,1,1
1583586364,2,2
1583589936,6,1
1583593539,2,3
1583597139,4,3
1583600752,1,2
1583604341,2,2
1583607955,0,5
1583611559,0,3
1583615147,2,3
1583618758,6,2
1583622348,3,1
1583625972,2,3
1583629564,2,2
1583633171,3,0
1583636764,3,1
1583640354,3,7
1583643953,3,3
1583647559,0,2
1583651153,2,2
1583654771,2,1
1583658367,1,1
1583661962,2,2
1583665556,1,1
1583669147,1,0
1583672752,2,2
1583676342,2,4
1583679960,4,6
1583683545,2,1
1583687159,2,3
1583690757,5,5
1583694347,4,3
1583697948,1,1
1583701553,0,2
1583705162,1,3
1583708758,2,3
1583712358,4,3
1583715949,2,3
1583719552,6,0
1583723157,0,1
1583726752,0,1
1583730353,3,1
1583733936,4,3
1583737557,3,3
1583741145,1,1
1583744752,2,2
1583748355,3,3
1583751950,4,12
1583755561,11,3
1583759165,4,2
1583762749,3,1
1583766348,0,2
1583769952,1,3
1583773542,2,2
1583777153,0,3
1583780741,3,3
1583784343,0,1
1583787958,3,0
1583791565,3,1
1583795156,3,1
1583798779,1,2
1583802351,3,3
1583805946,1,4
1583809554,0,1
1583813149,4,5
1583816756,3,0
1583820349,1,4
1583823941,2,3
1583827535,3,4
1583831146,7,0
1583834755,0,1
1583838359,2,1
1583841956,4,7
1583845553,2,3
1583849165,1,2
1583852743,4,2
1583856329,5,3
1583859947,2,4
1583863560,1,1
1583867148,2,0
1583870745,1,1
1583874349,0,6
1583877962,4,3
1583881558,2,0
1583888757,2,1
1583892358,2,1
1583895952,0,3
1583899552,3,2
1583903165,4,3
1583906754,3,5
1583910357,3,4
1583913945,2,2
1583917541,3,1
1583921147,1,0
1583924756,2,2
1583928351,1,2
1583931946,4,2
1583935552,2,3
1583939159,4,4
1583942769,1,0
1583946359,2,9
1583949954,0,5
1583953549,5,1
1583957165,6,4
1583960762,5,1
1583964372,1,0
1583967963,1,2
1583971553,1,0
1583975169,2,2
1583978767,1,2
1583982357,3,1
1583985963,2,4
1583989565,1,4
1583993165,2,2
1583996763,3,1
1584000366,4,10
1584003958,9,3
1584007573,2,5
1584011161,1,1
