DateTime,AddedIPs,RemovedIPs
1583889253,6,12
1583890931,11,24
1583892622,10,7
1583894532,9,25
1583896454,10,9
1583897293,3,5
1583898133,7,12
1583900053,12,8
1583900893,4,11
1583902633,11,11
1583904016,11,5
1583905336,10,14
1583907253,12,11
1583908094,7,5
1583909590,5,21
1583910916,15,3
1583912531,9,12
1583913376,6,9
1583914520,14,7
1583916135,9,19
1583916975,7,4
1583917249,4,4
1583918056,16,1
1583919734,12,9
1583920572,9,7
1583921715,9,10
1583923336,8,27
1583925022,10,17
1583926934,22,30
1583927773,8,5
1583928854,10,8
1583930532,4,15
1583931373,9,1
1583932514,16,9
1583934133,6,22
1583935821,12,17
1583937736,14,15
1583939653,24,10
1583941230,14,10
1583942171,9,2
1583943253,8,3
1583944511,8,15
1583945922,11,21
1583946855,6,4
1583947695,8,5
1583948533,2,18
1583950214,11,17
1583951415,17,9
1583952615,19,7
1583953814,6,22
1583955733,13,28
1583957651,10,11
1583958496,7,7
1583961252,19,16
1583962094,1,8
1583963711,7,12
1583964853,7,6
1583966713,16,15
1583968453,84,25
1583970027,7,16
1583970973,7,1
1583972115,10,5
1583973913,13,20
1583974572,8,3
1583975716,8,11
1583976496,5,5
1583979023,12,18
1583980091,6,3
1583982854,10,23
1583984535,8,11
1583985373,6,7
1583986519,6,5
1583987295,5,6
1583988136,7,10
1583990055,13,9
1583990892,3,8
1583991734,17,11
1583993413,21,6
1583994621,6,15
1583996682,11,14
1583998050,13,1
1583998936,5,16
1583999775,3,6
1584000852,10,7
1584002012,17,17
1584003644,17,14
1584005294,7,1
1584006975,5,22
1584008118,13,10
1584009323,9,19
1584009734,3,7
1584011423,13,12
