DateTime,Entries,UniqueIPs
1583833229,1099,1099
1583834400,1096,1096
1583835618,1106,1106
1583836829,1081,1081
1583838621,1090,1090
1583840534,1083,1083
1583842455,1083,1083
1583844314,1087,1087
1583844973,1085,1085
1583846053,1091,1091
1583847631,1089,1089
1583849127,1098,1098
1583850237,1101,1101
1583851514,1082,1082
1583853018,1086,1086
1583854092,1087,1087
1583855229,1084,1084
1583856616,1081,1081
1583857820,1073,1073
1583859224,1073,1073
1583860451,1067,1067
1583861292,1062,1062
1583862135,1056,1056
1583863519,1056,1056
1583865026,1075,1075
1583867418,1103,1103
1583868490,1106,1106
1583870113,1113,1113
1583871254,1123,1123
1583872095,1122,1122
1583872933,1112,1112
1583874537,1111,1111
1583875694,1116,1116
1583876530,1111,1111
1583877377,1115,1115
1583878512,1121,1121
1583879291,1123,1123
1583882053,1117,1117
1583883311,1116,1116
1583884512,1115,1115
1583885654,1116,1116
1583887332,1106,1106
1583888171,1108,1108
1583889253,1102,1102
1583890931,1089,1089
1583892622,1092,1092
1583894532,1076,1076
1583896454,1077,1077
1583897293,1075,1075
1583898133,1070,1070
1583900053,1074,1074
1583900893,1067,1067
1583902633,1067,1067
1583904016,1073,1073
1583905336,1069,1069
1583907253,1070,1070
1583908094,1072,1072
1583909590,1056,1056
1583910916,1068,1068
1583912531,1065,1065
1583913376,1062,1062
1583914520,1069,1069
1583916135,1059,1059
1583916975,1062,1062
1583917249,1062,1062
1583918056,1077,1077
1583919734,1080,1080
1583920572,1082,1082
1583921715,1081,1081
1583923336,1062,1062
1583925022,1055,1055
1583926934,1047,1047
1583927773,1050,1050
1583928854,1052,1052
1583930532,1041,1041
1583931373,1049,1049
1583932514,1056,1056
1583934133,1040,1040
1583935821,1035,1035
1583937736,1034,1034
1583939653,1048,1048
1583941230,1052,1052
1583942171,1059,1059
1583943253,1064,1064
1583944511,1057,1057
1583945922,1047,1047
1583946855,1049,1049
1583947695,1052,1052
1583948533,1036,1036
1583950214,1030,1030
1583951415,1038,1038
1583952615,1050,1050
1583953814,1034,1034
1583955733,1019,1019
1583957651,1018,1018
1583958496,1018,1018
1583961252,1021,1021
1583962094,1014,1014
1583963711,1009,1009
1583964853,1010,1010
1583966713,1011,1011
1583968453,1070,1070
1583970027,1061,1061
1583970973,1067,1067
1583972115,1072,1072
1583973913,1065,1065
1583974572,1070,1070
1583975716,1067,1067
1583976496,1067,1067
1583979023,1061,1061
1583980091,1064,1064
1583982854,1051,1051
1583984535,1048,1048
1583985373,1047,1047
1583986519,1048,1048
1583987295,1047,1047
1583988136,1044,1044
1583990055,1048,1048
1583990892,1043,1043
1583991734,1049,1049
1583993413,1064,1064
1583994621,1055,1055
1583996682,1052,1052
1583998050,1064,1064
1583998936,1053,1053
1583999775,1050,1050
1584000852,1053,1053
1584002012,1053,1053
1584003644,1056,1056
1584005294,1062,1062
1584006975,1045,1045
1584008118,1048,1048
1584009323,1038,1038
1584009734,1034,1034
1584011423,1035,1035
